SampleDate,Location,N1_Concentration_Merged,N2_Concentration_Merged,N/PMMoV,PV_Concentration_Merged
2021-10-25,Far East Davis,64.1473436,51.3170433,0.0013936666666666668,230000.0
2021-10-25,North Central Davis,0.0,0.0,0.0,758000.0
2021-10-25,Central Davis,0.0,24.5799184,0.0,336000.0
2021-10-25,East Central Davis A,0.0,0.0,0.0,344000.0
2021-10-25,North J,11.980251,0.0,0.0,222000.0
2021-10-25,8th and J,0.0,0.0,0.0,134000.0
2021-10-25,Rancho Yolo: East 8th Street,0.0,0.0,0.0,253000.0
2021-10-25,South Davis/El Macero,0.0,12.024839,0.0,321000.0
2021-10-25,Peregrine School (downstream),0.0,0.0,0.0,285000.0
2021-10-25,Peregrine School (upstream),0.0,0.0,0.0,707000.0
2021-10-25,Arroyo A,0.0,0.0,0.0,239000.0
2021-10-25,Arroyo B,11.9050383,0.0,0.0,138000.0
2021-10-25,East Central Davis B,0.0,0.0,0.0,344000.0
2021-10-25,Rancho Yolo/Research Park,0.0,11.8705905,0.0,181000.0
2021-10-25,Rancho Yolo: Pole Line north of 5th,0.0,0.0,0.0,403000.0
2021-10-25,Cantrill Drive,196.162624,42.0267058,0.008833333333333334,127000.0
2021-10-25,Olive Drive,24.6929121,0.0,0.0,402000.0
2021-10-27,Old East Davis/Wildhorse,24.0138078,24.0138078,0.0,116000.0
2021-10-27,Far West Davis,0.0,0.0,0.0,598000.0
2021-10-27,North Davis A,0.0,11.6927111,0.0,227000.0
2021-10-27,North Davis B,148.902807,125.990696,0.00017966666666666665,765000.0
2021-10-27,North Davis C,33.2075095,33.2075095,0.0,115000.0
2021-10-27,North Davis D,44.7410631,55.9271813,0.0009193333333333333,435000.0
2021-10-27,The Cannery,21.7469191,32.6208663,0.0,160000.0
2021-10-27,Far East Davis,21.9561767,10.9779226,0.0,131000.0
2021-10-27,North Central Davis,22.4861264,11.2428951,0.0,521000.0
2021-10-27,Central Davis,79.8937702,148.387804,0.00016033333333333332,712000.0
2021-10-27,East Central Davis A,88.9265061,44.4606066,0.0005726666666666666,116000.0
2021-10-27,North J,0.0,21.601069,0.0,647000.0
2021-10-27,8th and J,10.7908249,10.7908249,0.0,784000.0
2021-10-27,Rancho Yolo: East 8th Street,11.0568011,33.1713772,0.0,829000.0
2021-10-27,South Davis/El Macero,21.2400698,0.0,0.0,135000.0
2021-10-27,Peregrine School (downstream),0.0,0.0,0.0,383000.0
2021-10-27,Peregrine School (upstream),11.2839138,11.2839138,0.0,274000.0
2021-10-27,Arroyo A,0.0,10.941093,0.0,201000.0
2021-10-27,Arroyo B,44.7822142,44.7822142,0.0022583333333333335,142000.0
2021-10-27,East Central Davis B,21.765747,10.8827126,0.0,333000.0
2021-10-27,Rancho Yolo/Research Park,0.0,0.0,0.0,187000.0
2021-10-21,COD WWTP,11.1623835,11.1623835,0.0,329000.0
2021-10-22,COD WWTP,21.8088818,10.9042787,0.0,366000.0
2021-10-23,COD WWTP,11.0263598,11.0263598,0.0,449000.0
2021-10-24,COD WWTP,32.090323,0.0,0.0,196000.0
2021-10-25,COD WWTP,21.6418004,32.463181,0.0,340000.0
2021-10-26,COD WWTP,44.0804815,55.1014233,0.001177,340000.0
2021-10-27,COD WWTP,42.5940037,31.9450378,0.0,301000.0
2021-10-27,Rancho Yolo: Pole Line north of 5th,11.612674,58.0669117,0.0006616666666666667,605000.0
2021-10-27,Cantrill Drive,0.0,11.3414836,0.0,83200.0
2021-10-27,Olive Drive,0.0,11.3084066,0.0,298000.0
2021-09-27,Old East Davis/Wildhorse,13.654387,0.0,0.0,35400.0
2021-09-27,Far West Davis,13.2201838,13.2201838,0.0,395000.0
2021-09-27,North Davis A,39.0549922,26.0362482,0.0,173000.0
2021-09-27,North Davis B,13.5641062,13.5641062,0.0,335000.0
2021-09-27,North Davis C,49.4352818,12.3582351,0.0,61000.0
2021-09-27,North Davis D,24.3539762,24.3539762,0.0,178000.0
2021-09-27,The Cannery,12.936424,0.0,0.0,192000.0
2021-09-27,Far East Davis,12.2660267,0.0,0.0,176000.0
2021-09-27,North Central Davis,23.0787611,69.2404222,0.0041203333333333335,116000.0
2021-09-27,Central Davis,51.2619305,0.0,0.0,326000.0
2021-09-27,East Central Davis A,0.0,0.0,0.0,73600.0
2021-09-27,North J,38.6250138,12.8745925,0.0,355000.0
2021-09-27,8th and J,12.2770321,0.0,0.0,120000.0
2021-09-27,Rancho Yolo: East 8th Street,0.0,0.0,0.0,216000.0
2021-09-27,South Davis/El Macero,0.0,0.0,0.0,47000.0
2021-09-27,Peregrine School (downstream),0.0,25.1701212,0.0,363000.0
2021-09-27,Peregrine School (upstream),22.9582524,22.9582524,0.0,84600.0
2021-09-27,Arroyo A,0.0,0.0,0.0,225000.0
2021-09-27,Arroyo B,0.0,0.0,0.0,63200.0
2021-09-27,East Central Davis B,25.0591993,12.5294018,0.0,76800.0
2021-09-27,Rancho Yolo/Research Park,24.1487718,0.0,0.0,176000.0
2021-09-27,Rancho Yolo: Pole Line north of 5th,0.0,0.0,0.0,63600.0
2021-09-27,Cantrill Drive,27.417593,13.708564,0.0,46200.0
2021-09-27,Olive Drive,25.866468,12.9330301,0.0,156000.0
2021-10-29,Old East Davis/Wildhorse,57.601819,23.0396628,0.0,0.0
2021-10-29,Far West Davis,11.6608477,46.645565,2.8666666666666668e-05,1630000.0
2021-10-29,North Davis A,0.0,0.0,0.0,0.0
2021-10-29,North Davis B,0.0,32.5239754,0.0,0.0
2021-10-29,North Davis C,0.0,21.3272977,0.0,0.0
2021-10-29,North Davis D,10.9339488,10.9339488,0.0,0.0
2021-10-29,The Cannery,10.4998159,10.4998159,0.0,0.0
2021-10-29,Far East Davis,0.0,0.0,0.0,0.0
2021-10-29,North Central Davis,0.0,0.0,0.0,0.0
2021-10-29,Central Davis,76.7021132,54.7855663,0.00021533333333333333,305000.0
2021-10-29,East Central Davis A,240.688858,355.355949,0.00020766666666666668,1430000.0
